// Compost colors for doggytalents. You may add your own colors, change existing ones, or remove colors that aren't needed.
amnesia_bone, #ffffff
bach_wig, #ffffff
baker_hat, #ffffff
bandaid, #ffe7cc
bat_wings, #8a8270
beastars_uniform_female, #ffffff
beastars_uniform_male, #ffffff
birthday_hat, #ffffff
bowtie, #ffffff
breeding_bone, #ffb8b8
canine_tracker, #ffde7a
cape_coloured, #a5a5a5
chef_hat, #ffffff
conan_suit, #d3def8
conducting_bone, #ffffff
creative_canine_tracker, #ffde7a
creative_collar, #ffff55
crow_wings, #7d838c
death_hood, #7f8082
demon_horns, #ffe6e6
dire_treat, #dcd9f5
disc_bwv_1080_fugue_11, #f4eded
disc_bwv_849_fugue, #f7f1ed
disc_chopin_op64_no1, #e6dcda
disc_okami_ryoshima_coast_arr, #ffffc8
divine_retribution, #e47d33
doggy_charm, #ffffc2
egg_sandwich, #ffffff
empty_locator_orb, #ffffff
energizer_stick, #ffffb1
feathered_mantle, #ffffff
flying_cape, #ffffff
frisbee, #ffffff
frisbee_wet, #ffffff
gender_bone, #fffbff
giant_stick, #ffffff
golden_a_five_wagyu, #ffffe4
guard_suit, #575050
head_band_blank, #ffffd9
head_band_highhh, #fffcc8
head_band_mystery, #ffffca
hot_dog, #ffffd3
kitsune_mask, #c2a5a4
lab_coat, #ffffff
leather_jacket, #585858
locator_orb_chi, #fa93bb
locator_orb_chu, #97d7ff
locator_orb_gi, #6f91ff
locator_orb_jin, #ff7673
locator_orb_ko, #be76ff
locator_orb_rei, #eefe5f
locator_orb_shin, #a7f273
locator_orb_tei, #ffcf61
magnifying_bone, #ffe7cd
master_treat, #51fee1
multicoloured_collar, #e1a18d
onigiri, #deeae4
pianist_suit, #b6b4b2
plague_doctor_mask, #cac9c6
radio_collar, #948383
rice_bowl, #f7f0eb
salmon_sushi, #fffff7
sausage, #af361b
shrinking_mallet, #fffff0
smarty_glasses, #d2d3d3
snorkel, #ffffff
spotted_collar, #969898
starter_bundle, #ffffb6
sunglasses, #191b19
super_treat, #ffffc3
superdog_suit, #e6e7ff
sussy_sickle, #ffffff
tantan_cape, #6c4e6b
tengu_mask, #b87979
throw_bone, #ffffff
throw_bone_wet, #ffffff
throw_stick, #ffffff
throw_stick_wet, #ffffff
training_treat, #f0d4c3
treat_bag, #784d29
whistle, #dc4848
wig, #ebebeb
witch_hat, #a0a59a
wool_collar, #ffffff
