// Compost colors for irons_spellbooks. You may add your own colors, change existing ones, or remove colors that aren't needed.
amethyst_resonance_charm, #dec9cc
arcane_essence, #ffffff
arcane_ingot, #def0ff
arcane_rune, #8a9aac
arcane_salvage, #ffffff
archevoker_boots, #ffffff
archevoker_chestplate, #cdc5aa
archevoker_helmet, #aea89b
archevoker_leggings, #fefaf1
blank_rune, #908e8a
blaze_spell_book, #c89146
blood_rune, #b1908d
blood_upgrade_orb, #b9b9bc
blood_vial, #fff2f8
cast_time_ring, #ffdcd4
cinder_essence, #fbe8e3
common_ink, #b4b9b4
concentration_amulet, #ffffff
conjurers_talisman, #eee7e6
cooldown_ring, #ffd4c2
cooldown_rune, #a1979d
cooldown_upgrade_orb, #b9b9bc
copper_spell_book, #a26933
cryomancer_boots, #f8fbfa
cryomancer_chestplate, #edfbfa
cryomancer_helmet, #ffffff
cryomancer_leggings, #f7fcfc
cultist_boots, #ffffff
cultist_chestplate, #c2b8ae
cultist_helmet, #fef7f4
cultist_leggings, #f0e8e7
diamond_spell_book, #a1c3bf
divine_pearl, #ffffff
dragonskin, #e1e0e3
dragonskin_spell_book, #a570b6
druidic_spell_book, #a0bf7f
electromancer_boots, #ffffff
electromancer_chestplate, #f1ebeb
electromancer_helmet, #c2c6d0
electromancer_leggings, #fefbfb
emerald_stoneplate_ring, #ffffbc
ender_rune, #c878f0
ender_upgrade_orb, #d2c9cf
epic_ink, #ffd0e3
evasion_elixir, #ffffff
evocation_rune, #8ab68c
evocation_upgrade_orb, #b9b9bc
evoker_spell_book, #e0be86
fire_rune, #c2a290
fire_upgrade_orb, #b9b9bc
fireward_ring, #ffd2ae
frostward_ring, #edf8ff
frozen_bone, #ffffff
gold_spell_book, #b48278
greater_evasion_elixir, #ffffff
greater_healing_potion, #ffffff
greater_invisibility_elixir, #ffffff
greater_oakskin_elixir, #ffffff
heavy_chain_necklace, #b4b8c3
hogskin, #fff0e4
holy_rune, #b1aa90
holy_upgrade_orb, #b9b9bc
ice_rune, #96b4b2
ice_upgrade_orb, #b9b9bc
invisibility_elixir, #ffffff
invisibility_ring, #ffffff
iron_spell_book, #807672
legendary_ink, #ffd490
legendary_spell_book, #e1c8b1
lightning_bottle, #ffffff
lightning_rune, #9690b2
lightning_upgrade_orb, #b9b9bc
lurker_ring, #f5ded3
magic_cloth, #d3fcff
mana_ring, #e7ffff
mana_upgrade_orb, #b9b9bc
nature_rune, #98ae83
nature_upgrade_orb, #b9b9bc
netherite_spell_book, #808487
oakskin_elixir, #ffffff
plagued_boots, #fcf7f8
plagued_chestplate, #c0bcb1
plagued_helmet, #fffff8
plagued_leggings, #f0eae7
poisonward_ring, #b2b5a0
priest_boots, #ffc330
priest_chestplate, #ffe3a0
priest_helmet, #ffff79
priest_leggings, #f0d0ac
protection_rune, #aeae96
protection_upgrade_orb, #b9b9bc
pumpkin_boots, #fffbf5
pumpkin_chestplate, #beaea7
pumpkin_helmet, #a4978d
pumpkin_leggings, #eeeae8
pyromancer_boots, #ffffff
pyromancer_chestplate, #87544d
pyromancer_helmet, #8d8d8d
pyromancer_leggings, #f2e6e8
rare_ink, #9bacaf
rotten_spell_book, #9e9666
ruined_book, #87a09d
scroll, #ffffff
shadowwalker_boots, #dadad9
shadowwalker_chestplate, #9e9ba0
shadowwalker_helmet, #e7e7e7
shadowwalker_leggings, #e1dce3
shriving_stone, #f7ebf5
silver_ring, #ffffff
tarnished_helmet, #ffffff
uncommon_ink, #9da187
upgrade_orb, #b9b9bc
villager_spell_book, #a48d48
wandering_magician_boots, #ffffff
wandering_magician_chestplate, #dad2cf
wandering_magician_helmet, #f7fbff
wandering_magician_leggings, #faeeeb
wayward_compass, #c2cccc
wimpy_spell_book, #e1c8b1
