// Compost colors for magic_vibe_decorations. You may add your own colors, change existing ones, or remove colors that aren't needed.
ametrine_crystal, #ffbeff
aquamarine_crystal, #3db9ff
bluepumpkin, #ffb232
citrine_crystal, #ffde4e
clear_quartz_crystal, #ffffff
crystal_ball, #a1afe4
crystallised_obsidian, #f0c1c
diamond_crystal, #87ffff
emerald_crystal, #19e862
ender_amethyst_crystal, #5c16c9
greenpumpkin, #ffb81c
halloweenpies, #ff9823
herbs, #b5b855
hibernating_crystal_ball, #9abbde
lapis_lazuli_crystal, #80761
nether_fire_crystal, #ff6623
overworld_secret_crystal, #cdd633
pinkpumpkin, #ffa228
pumpkin_soup, #9e570a
pumpkindecor, #ffac1c
pumpkinmuffin, #ffac4e
pumpkinmuffins, #ffab46
redpumpkin, #ffa11b
rubellite_crystal, #c50c4b
small_magic_pot, #585b72
small_magic_pot_awake, #58665e
triple_herbs, #c6cc6b
yellowpumpkin, #ffb420
