// Compost colors for nyfsarcheryplus. You may add your own colors, change existing ones, or remove colors that aren't needed.
diamond_arrowhead, #ffffff
diamond_bow, #ddf0ed
diamond_crossbow, #acc2bc
diamond_tipped_arrow, #87c8ab
golden_arrowhead, #ffffff
golden_bow, #f8e6d2
golden_crossbow, #cfb498
golden_tipped_arrow, #ead380
iron_arrowhead, #ffffff
iron_bow, #ebe8e1
iron_crossbow, #d0c6c0
iron_tipped_arrow, #ccbfaa
netherite_arrowhead, #ffffff
netherite_bow, #dcd2cc
netherite_crossbow, #ae9d9e
netherite_tipped_arrow, #948370
stone_arrowhead, #ffffff
stone_tipped_arrow, #a59883
