// Compost colors for primalmagick. You may add your own colors, change existing ones, or remove colors that aren't needed.
adept_wand_gem_item, #ffffff
alchemical_bomb, #ffffff
alchemical_waste, #786565
apprentice_wand_gem_item, #ffffff
archmage_wand_gem_item, #fbffff
bamboo_staff_core_item, #ffffff
bamboo_wand_core_item, #ffffff
beeswax, #f4e7d2
blaze_rod_staff_core_item, #ffffff
blaze_rod_wand_core_item, #ffffff
blood_notes, #e79752
blood_rose, #6e3716
bloody_flesh, #ff8282
bomb_casing, #6b6968
bone_staff_core_item, #ffffff
bone_wand_core_item, #ffffff
codex, #6baa68
concoction, #e6e6e6
copper_grit, #fa7655
coral_staff_core_item, #ffffff
coral_wand_core_item, #ffffff
creative_wand_gem_item, #d078ff
dark_primal_staff_core_item, #ffffff
dark_primal_wand_core_item, #ffffff
dowsing_rod, #735720
dream_vision_talisman, #caa537
earthshatter_hammer, #bbbcaa
emberflower, #ff610b
enchanted_ink, #96a1b5
enchanted_ink_and_quill, #cfd6e1
enderward, #a7aa97
essence_cluster_blood, #ffe6e8
essence_cluster_earth, #feffff
essence_cluster_hallowed, #ffffff
essence_cluster_infernal, #ffe7b1
essence_cluster_moon, #ffffff
essence_cluster_sea, #f0ffff
essence_cluster_sky, #ffffff
essence_cluster_sun, #ffffed
essence_cluster_void, #ffe1ff
essence_crystal_blood, #ffebf1
essence_crystal_earth, #ffffff
essence_crystal_hallowed, #ffffff
essence_crystal_infernal, #ffffff
essence_crystal_moon, #ffffff
essence_crystal_sea, #ffffff
essence_crystal_sky, #ffffff
essence_crystal_sun, #ffffff
essence_crystal_void, #fff8ff
essence_dust_blood, #e77a7a
essence_dust_earth, #f7fffe
essence_dust_hallowed, #ffffff
essence_dust_infernal, #ffc084
essence_dust_moon, #ffffff
essence_dust_sea, #93c9ff
essence_dust_sky, #f0ffff
essence_dust_sun, #ffffbe
essence_dust_void, #8666ac
essence_shard_blood, #ffb1b1
essence_shard_earth, #bcf5c3
essence_shard_hallowed, #ffffff
essence_shard_infernal, #ffb9a1
essence_shard_moon, #ffffff
essence_shard_sea, #a7e4ff
essence_shard_sky, #e1ffff
