// Compost colors for resource_cracker. You may add your own colors, change existing ones, or remove colors that aren't needed.
beef_jerky, #52200a
chisel_copper, #ca8261
chisel_diamond, #78c9be
chisel_gold, #f1c661
chisel_iron, #9b908a
chisel_netherite, #5f5454
chisel_steel, #2d2a29
crack_hammer_copper, #b26848
crack_hammer_diamond, #58ae9e
crack_hammer_gold, #e1ab3a
crack_hammer_iron, #807266
crack_hammer_netherite, #50413d
crack_hammer_steel, #28221f
diamond_nugget, #ffffff
garlic, #ffffff
material_dust_carbon, #ffffff
material_dust_copper, #fffffb
material_dust_diamond, #3cfff0
material_dust_emerald, #347d4b
material_dust_gold, #ffffdc
material_dust_iron, #ffffff
material_dust_netherite, #fbfbfa
material_dust_netherite_scrap, #ffffea
material_dust_saltpeter, #ffffff
material_dust_steel, #ffffff
material_dust_sulfur, #ffffff
scythe_copper, #4e3020
scythe_diamond, #1f443d
scythe_gold, #574419
scythe_iron, #342f2a
scythe_netherite, #1e1815
scythe_steel, #2d2823
steel_ingot, #bebbbb
