// Compost colors for vct. You may add your own colors, change existing ones, or remove colors that aren't needed.
acacia_crafting_table_minecart, #9a7d5f
aeronos_crafting_table_minecart, #656c84
aether_skyroot_crafting_table_minecart, #708666
ap_twisted_crafting_table_minecart, #68656b
apricorn_crafting_table_minecart, #8d7c5a
araucaria_crafting_table_minecart, #947c5f
arcane_edelwood_crafting_table_minecart, #8a7352
archwood_crafting_table_minecart, #766282
ash_crafting_table_minecart, #838483
aspen_crafting_table_minecart, #9e8964
aurum_crafting_table_minecart, #9b7c5c
azalea_crafting_table_minecart, #707078
azule_azalea_crafting_table_minecart, #737575
azure_crafting_table_minecart, #646282
bamboo_crafting_table_minecart, #9b8e69
birch_crafting_table_minecart, #a1907c
bloodshroom_crafting_table_minecart, #a15e4b
bm_ancient_oak_crafting_table_minecart, #828380
bm_blighted_balsa_crafting_table_minecart, #a1a490
bm_swamp_cypress_crafting_table_minecart, #877a57
bm_willow_crafting_table_minecart, #989d7d
bop_dead_crafting_table_minecart, #787978
bop_fir_crafting_table_minecart, #806e5b
bop_hellbark_crafting_table_minecart, #6e625b
bop_jacaranda_crafting_table_minecart, #a8a19d
bop_magic_crafting_table_minecart, #989ea4
bop_mahogany_crafting_table_minecart, #967675
bop_palm_crafting_table_minecart, #937c6e
bop_redwood_crafting_table_minecart, #90645b
bop_umbran_crafting_table_minecart, #6e6579
bop_willow_crafting_table_minecart, #687c65
bright_azalea_crafting_table_minecart, #8a8372
brown_mushroom_crafting_table_minecart, #8a7c6f
canopy_crafting_table_minecart, #706c65
ceiltrunk_crafting_table_minecart, #7d945a
cherry_crafting_table_minecart, #ae9a96
cherrywood_crafting_table_minecart, #937665
chestnut_crafting_table_minecart, #877365
congealed_crafting_table_minecart, #916b7d
crimson_crafting_table_minecart, #80585a
cypress_crafting_table_minecart, #657558
dark_cherry_crafting_table_minecart, #805551
dark_oak_crafting_table_minecart, #6e625b
darkwood_crafting_table_minecart, #877261
driftwood_crafting_table_minecart, #757675
ebony_crafting_table_minecart, #625c65
echo_crafting_table_minecart, #848d86
eco_azalea_crafting_table_minecart, #977873
eco_coconut_crafting_table_minecart, #6f8e5f
eco_flowering_azalea_crafting_table_minecart, #9a837c
eco_walnut_crafting_table_minecart, #7c6c61
edelwood_crafting_table_minecart, #7f6957
edified_crafting_table_minecart, #736182
fairy_ring_mushroom_crafting_table_minecart, #b9aa7d
fir_crafting_table_minecart, #706c68
fiss_azalea_crafting_table_minecart, #a89866
ft_cherry_crafting_table_minecart, #9b908d
ft_citrus_crafting_table_minecart, #908378
fungyss_crafting_table_minecart, #908378
ge_cypress_crafting_table_minecart, #75695b
ge_muddy_oak_crafting_table_minecart, #5b7d57
gingerbread_crafting_table_minecart, #93846c
glacian_crafting_table_minecart, #877678
glowshroom_crafting_table_minecart, #789b98
gourdrot_crafting_table_minecart, #797068
greenheart_crafting_table_minecart, #5cac79
grimwood_crafting_table_minecart, #585754
grongle_crafting_table_minecart, #686c5e
heidiphyllum_crafting_table_minecart, #8a8c8a
hexerei_mahogany_crafting_table_minecart, #6b5f5a
hexerei_willow_crafting_table_minecart, #6b6b64
hexerei_witch_hazel_crafting_table_minecart, #6f665c
holly_crafting_table_minecart, #68656c
honey_fungus_crafting_table_minecart, #ae977c
jaboticaba_crafting_table_minecart, #7d7a7f
jacaranda_crafting_table_minecart, #6c6b87
jungle_crafting_table_minecart, #837c5e
kousa_crafting_table_minecart, #898e83
liriodendrites_crafting_table_minecart, #979787
luzawood_crafting_table_minecart, #7c9a9a
mangrove_crafting_table_minecart, #8d6151
maple_crafting_table_minecart, #89705c
menril_crafting_table_minecart, #828c91
metasequoia_crafting_table_minecart, #966e5e
minewood_crafting_table_minecart, #8c877f
morado_crafting_table_minecart, #9d7879
mushroom_crafting_table_minecart, #9ea09d
netherwood_crafting_table_minecart, #685e69
oak_crafting_table_minecart, #8c7964
penumbra_crafting_table_minecart, #5e5a80
petrified_crafting_table_minecart, #807f7a
poise_crafting_table_minecart, #726273
poisonous_mushroom_crafting_table_minecart, #6e6e83
pream_crafting_table_minecart, #ab9d79
protojuniperoxylon_crafting_table_minecart, #7c7d82
protopiceoxylon_crafting_table_minecart, #78645e
pyrowood_crafting_table_minecart, #6c6966
quark_ancient_crafting_table_minecart, #a4a5a7
quark_azalea_crafting_table_minecart, #62765a
quark_blossom_crafting_table_minecart, #7a6b65
ramboutan_crafting_table_minecart, #8e7d8d
red_mushroom_crafting_table_minecart, #ac7976
redbud_crafting_table_minecart, #9d6462
river_crafting_table_minecart, #7a7066
rosewood_crafting_table_minecart, #7d7575
rotten_planks_crafting_table_minecart, #6b6661
roze_azalea_crafting_table_minecart, #766866
rue_baobab_crafting_table_minecart, #aeaba5
rue_blackwood_crafting_table_minecart, #aeaba5
rue_brimwood_crafting_table_minecart, #7a6657
rue_cherry_crafting_table_minecart, #a79a9a
rue_cypress_crafting_table_minecart, #767d6b
rue_dead_crafting_table_minecart, #83827d
rue_eucalyptus_crafting_table_minecart, #978065
rue_joshua_crafting_table_minecart, #877d75
rue_larch_crafting_table_minecart, #979080
rue_maple_crafting_table_minecart, #93875b
rue_mauve_crafting_table_minecart, #877a8d
rue_palm_crafting_table_minecart, #b1afa7
rue_pine_crafting_table_minecart, #a59a83
rue_redwood_crafting_table_minecart, #9d6f51
rue_willow_crafting_table_minecart, #909186
