// Compost colors for xtraarrows. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_arrow, #da695a
arrow_padding, #ffffff
bat_skin, #5a442f
breeding_arrow, #d27865
breeding_ointment, #ffc5dd
compressed_snow, #bbffff
copper_arrow_lining, #ff8d65
cupids_arrow, #f07fb2
diamond_arrow, #a1cdaf
diamond_atlantean_arrow, #84ffff
diamond_ender_arrow, #419e82
diamond_explosive_arrow, #9aacaa
diamond_freezing_arrow, #cdffff
diamond_gravity_arrow, #acbe90
diamond_lantern_arrow, #a4ccac
diamond_life_steal_arrow, #86867a
diamond_lightning_arrow, #ffffd3
diamond_magnetic_arrow, #c2f8f1
diamond_redstone_torch_arrow, #c5ae96
diamond_slime_arrow, #9ae096
diamond_soul_lantern_arrow, #75bebb
diamond_soul_torch_arrow, #8eedd7
diamond_torch_arrow, #d0eba2
diamond_tracking_arrow, #8cc679
diamond_vexing_arrow, #bcf2fa
empty_ointment_bottle, #f8ebfa
extinguishing_arrow, #aeb9c6
flint_atlantean_arrow, #8ceaff
flint_ender_arrow, #408d72
flint_explosive_arrow, #a88389
flint_freezing_arrow, #d6ffff
flint_gravity_arrow, #b9966e
flint_lantern_arrow, #b1a48a
flint_life_steal_arrow, #945c58
flint_lightning_arrow, #fffeb2
flint_magnetic_arrow, #d0d0d0
flint_redstone_torch_arrow, #d38675
flint_slime_arrow, #9ed089
flint_soul_lantern_arrow, #82949a
flint_soul_torch_arrow, #9bc3b5
flint_torch_arrow, #dec280
flint_tracking_arrow, #8ec276
flint_vexing_arrow, #c9cad9
golden_apple_arrow, #e4c362
golden_arrow, #d6b668
golden_atlantean_arrow, #a2f4ff
golden_ender_arrow, #50986e
golden_explosive_arrow, #cf9662
golden_freezing_arrow, #f0ffff
golden_gravity_arrow, #e0a748
golden_lantern_arrow, #d9b565
golden_life_steal_arrow, #bb6f33
golden_lightning_arrow, #ffff8c
golden_magnetic_arrow, #f7e1aa
golden_redstone_torch_arrow, #fa974e
golden_slime_arrow, #acd77d
golden_soul_lantern_arrow, #a8a773
golden_soul_torch_arrow, #c2d690
golden_torch_arrow, #ffd35b
golden_tracking_arrow, #93c573
golden_vexing_arrow, #f1dcb4
gravity_controller, #d6bcc9
headless_arrow, #a4936f
incendiary_arrow, #b5bbb4
iron_arrow, #9b9079
iron_atlantean_arrow, #80deff
iron_ender_arrow, #3e8c72
iron_explosive_arrow, #946f73
iron_freezing_arrow, #c9ffff
iron_gravity_arrow, #a5805a
iron_lantern_arrow, #9d8e76
iron_life_steal_arrow, #7f4844
iron_lightning_arrow, #faea9e
iron_magnetic_arrow, #bcbbbb
iron_redstone_torch_arrow, #be7261
iron_slime_arrow, #97c982
iron_soul_lantern_arrow, #6e8086
iron_soul_torch_arrow, #87afa1
iron_torch_arrow, #caae6c
iron_tracking_arrow, #8cbf73
iron_vexing_arrow, #b5b6c5
leashing_arrow, #edd2bc
magnet_kit, #cfb2c3
netherite_arrow, #8e806c
netherite_atlantean_arrow, #79d6ff
netherite_ender_arrow, #3c896f
netherite_explosive_arrow, #866166
netherite_freezing_arrow, #c0ffff
netherite_gravity_arrow, #98724b
netherite_lantern_arrow, #908069
netherite_life_steal_arrow, #723937
netherite_lightning_arrow, #eddc90
netherite_magnetic_arrow, #aeacae
netherite_redstone_torch_arrow, #b16252
netherite_slime_arrow, #91c37c
netherite_soul_lantern_arrow, #617278
netherite_soul_torch_arrow, #7aa193
netherite_torch_arrow, #bc9e5f
netherite_tracking_arrow, #87bb6f
netherite_vexing_arrow, #a8a7b6
notch_apple_arrow, #e4c362
padded_arrow, #ede3d0
tnt_arrow_lining, #ee524d
vex_wing, #ffffff
